name,comment,star
Đỗ MẠNh CƯờNg,Cho mình hỏi dt của mình tối qua khoảng gần 4h sáng mình vẫn coi báo thức được.dt bị tắt hồi nào ko biết nên ko nghe báo thức được.sáng mở nguồn cũng ko duoc.bên bạn có thể gởi lại mã bảo hành được ko.mình tìm hoài ko thấy.co gì gửi mail hồi âm dùm mình,4
HỒNg VÂN,"Nhận được máy rất bất ngờ vì building của máy đẹp hơn nhiều so với mình nghĩ. Tuy nhiên cảm ứng chưa được nhạy lắm. Chắc đây là lỗi chung của dòng A50 này. Giá ở Tiki rẻ hơn ở ngoài, và đc tự tay khui seal. Great!",5
Phan QuyẾT ThẮNg,"Sản phẩm tốt, chất lượng sản phẩm tuyệt vời. Hàng nhận được nguyên hộp mới. Đã trải nghiệm được gần 1 tháng thấy máy chạy mượt mà không có hiện tượng gì xảy ra.",5
PhẠM NguyỄN NgỌC TÙNg,"Điện thoại hư không có để sử dụng, mình đặt hàng, sử dụng tiki now để nhận hàng ngay, mà shipper gọi hẹn sang hôm sau giao (???), mình không đồng ý thì shipper tự động trả hàng về kho mà không báo với mình, gọi điện nhắn tin cho shipper mà không bắt máy hay trả lời, đã khiếu nại lên tổng đài, không biết đã làm việc ntn rồi. Cuối cùng, khi nhận hàng, nguyên seal, không móp méo. Điện thoại tốt, tới bây giờ chưa lỗi lầm gì.",4
Trang BÙI,"Hàng nguyên seal chính hãng. Sau khi nhận máy các bạn chủ động gọi tới hotline của tiki để đc bảo hành nhanh nhất. Máy có ngoại quan đẹp, cầm chắc tay, giao diện dễ dùng, màu sắc tươi sáng, có sạc nhanh nên chỉ khoảng 1h30 phút là đầy pin rồi, chụp hình còn rất nét nữa...Yếu điểm thì đt ss mà, tránh làm rơi kẻo liệt cảm ứng hihi, quan trọng là chơi tựa game nặng thì có hiện tượng giật đùng đùng phải clear bộ nhớ. Tác vụ và vài apps nhẹ thông thường mượt mà. Phù hợp vs ng trẻ.",5
Young Twenty,"Sản phẩm đóng gói kỹ, nguyên seal, giao hàng hơi chậm, chưa nhận đc thông tin kích hoạt bảo hành từ Samsung. Được tặng sẵn ốp lưng và dán sẵn miếng dán màn hình. Đt có màn hình lớn và đẹp, ứng dụng chạy nhanh và mượt nên xài rất đã, đã hơn con Ip6 của mình đang xài. Khuyên mọi người có tiền thì mua Samsung đi, chứ đừng cắm đầu mua Ip nữa.",5
VƯơNg BÍCh ThỦY,"Quá thất vọng! Mình mua máy đc 10 ngày thì máy lỗi rất nhiều thứ nhưng liên hệ tiki thì ko đổi máy khác đc. máy cảm ứng kém, vân tay kém, mình ko bao giờ tắt máy nhưng mọi người thường xuyên ko gọi đc mình. giờ thêm vấn đề nữa là máy tự nhiên ko thể mở đc wifi nữa. thật sự là rất chán. muốn bảo hành thì phải gửi máy đi cho tiki từ 7-10 ngày( máy mới mình gửi đi ko biết thế nào). Nói chung là quá thất vọng.",2
QuÂN VŨ,"Dùng hơn 10 ngày rồi và đây là cảm nhận của mình: - Về tiki: giao hàng nhanh gọn trong 24h, hàng mới chưa bóc tem. - Về sản phẩm: ăn đứt bề ngoài với dòng tầm trung khác, sài ổn, màn hình ngon, pin cũng ổn, các app chạy mượt, chụp hình phong cảnh thì tốt, tiếc cái vân tay ( sau khi update cảm ứng vân tay có nhanh hơn nhưng tầm 7 ngày là không nhạy luôn, reset lại máy thì mới nhạy trở lại) nhưng dù sao có vân tay trong màn hình mà tầm trung là vip lắm rồi. - Kết luận là đáng tiền cho 1 sản phẩm điện thoại tầm trung.",5
TrẦN ThỊ HuyỀN Trang,"Mình rất hài lòng với dịch vụ của Tiki. Mình chọn giao hàng nhanh nên chỉ 45' sau đã có điện thoại. Đóng gói cẩn thận, hàng mới như mô tả. Trước đây mình xài nhiều dịch vụ mua hàng online khác nhưng vẫn thích mua hàng trên Tiki nhất. Về điện thoại thì chưa hài lòng lắm. Trước đây mình chỉ xài Oppo Neo 7 nhưng các tính năng cơ bản có vẻ thông minh hơn cả A50. Ví dụ như tính năng chụp màn hình theo chuyển động của A50 rất kỳ cục, không có tắt màn hình 1 chạm. Còn tính năng bảo mật thì khá tệ, nhận diện khuôn mặt và vân tay đều không tốt. Thỉnh thoảng khi dùng các ứng dụng có biểu hiện cảm ứng không nhạy. Còn lại thì tạm ổn so với tầm giá.",4
Thanh PhƯơNg TrƯơNg,"Mới nhận hàng thôi, mình dùng thấy cảm biến vân tay khá nhạy mà, không như một số bạn nói, làm lúc mua phân vân mãi. Chọn màu đen đại thôi vì sau này in ốp nhưng không ngờ nhận được nhìn còn đẹp hơn hình. Sạc khá nhanh, phải cái hơi nóng máy. Mà xem được kích hoạt hay chưa thế nào vậy mọi người?",5
PhẠM ThỊ LƯU Ly,"Đặt mua hôm 19/6 chọn giao hàng tiêu chuẩn hạn tới 24/6 nhưng 21/6 đã nhận được hàng! Gói hàng cẩn thận, hài lòng về chất lượng điện thoại. Khoá khuôn mặt nhạy, cam trước chụp không đẹp lắm nhưng vẫn cho 5 sao vì thích sangsung và ủng hộ tiki nữa!",5
LÊ CƯơNg,"Mua con A50 này cho bố mình dùng, ấn tượng đầu tiên là nó rất đẹp. Bố mình chỉ sử dụng vài tính năng duy nhất là có màn hình rộng, chữ to, truy cập được vào mail và vào văn phòng điện tử. Thấy chụp ảnh cũng ok, chụp tối hơi mờ nhưng ko bị quá tối. Cảm ứng vân tay, nghe nhạc, xem phim, game, thì bố mình không dùng nên không biết chất lượng âm thanh hình ảnh chip chiếc thế nào.",5
NguyỄN NgÂN,"M đặt hôm 20.3, nay 23.3 có hàng là giao liền, rất nhanh. M mua có mã giảm giá nên giá rẻ hơn thị trường và không kèm quà tặng như ở các cửa hàng. Hộp sp có sạc, tai nghe, cây lấy sim, tặng ốp lưng dẻo và màn hình có dán sẵn miếng dán. Nhìn chung đt rất ok, cảm ứng nhạy, máy mượt, lâu xuống pin, hiển thị và camera tương đối đẹp. Đó là nhận xét sau 1 buổi trải nghiệm, còn độ bền thì tùy thuộc vào người sd, với mình thì hài lòng (lần đầu tiên m dùng Samsung ạ).",5
NguyỄN An,"Điện Thoại Samsung Galaxy A50 (64GB/4GB) - Hàng Chính Hãng có màn hình to, cấu hình vừa đủ để thao tác duyệt web, xem phim, nghe nhạc. Hàng đóng gói cẩn thận, pin và bộ nhớ dung lượng lớn. Giao diện Android 9 rất dễ sử dụng",5
VƯơNg Hoa,"Máy chính hãng, còn nguyên seal Samsung. Mình có vài nhận xét là: - Mặt trước đẹp, ổn áp :)) tuy nhiên mặt lưng nhựa nên ko có bóng bẩy bằng mấy con mặt kính, nhìn ko khác các dòng samsung còn lại. Màu xanh cũng đẹp nha - Camera cũng ok, cài apps đầy đủ chạy mượt, do mình ko chơi game nhiều. - Các tính năng ổn trong tầm giá, chỉ có vân tay trong màn hình chậm nhiều so với vân tay 1 chạm, nhưng ko đến nỗi lắm.",5
NguyỄN Kim ĐàI,"Ở phân khúc này không có lựa chọn tốt nhất chỉ có chọn thứ hợp với mình nhất thôi ưu điểm : màn đẹp,pin trâu,loa thoại to rõ,mic tốt ( mình bỏ xiaomi quay lại samsung vì loa thoại và mic) nhược : máy chạy hơi chậm so với cấu hình,vân tay nên vứt đi,sóng cực yếu ,bỏ 2 sim càng yếu,wifi thì tàm tạm hay rớt phải tắt mở lại",4
NguyỄN MẠNh HoÀNg ẨN,Sản phẩm điện thoại SamSung galaxy A50 tiki bán đúng như mô tả nguyên seal chưa active. Đang trải nghiệm bề ngoại thì đẹp nhưng kho ứng dụng có vài Apps làm treo máy tắt máy k đc v/v đề nghị bên SS nên kiểm duyệt Apps trc...,4
NguyỄN PhƯơNg ThẢO,"Máy đẹp, màn hình màu rực rỡ. Chụp ảnh góc rộng, xóa phông ở mức ổn. Pin nếu dùng nhiều được 1-1.5 ngày. Tuy nhiên máy mình dùng rất dễ nóng, đặc biệt là ở phần trên",4
NguyỄN Mai,"Giao hàng cho KH, điện thoại sử dụng 1 tuần thì tự tắt nguồn, yêu cầu hỗ trợ thì không linh hoạt. Lỗi của các bạn, chỉ biết xin lỗi mà bao cái thiệt thòi toàn là khách hàng chịu vậy. Ai muốn mua điện thoại thì ra thegioididong mua đi cho được phục vụ nhanh gọn nha",1
Tran Ngoc Le Chi,"Máy ổn. Minh mua luc tiki giảm giá, có thể vì thế mà máy đã kích hoạt bảo hành truoc đó 3 tháng (nhà bán hàng ko ghi tren web). Mình chủ động liên hệ hỗ trợ sau 12 ngày thì ko thay đổi dc gì. nhà bán hàng hứa bảo hành 12 tháng nhung phải gởi máy cho tiki để bảo hành",2
Thanh ÂN,"Giao hàng nhanh, điện thoại nguyên tem, chưa kích hoạt bảo hành, giá lại rẻ hơn so với những nơi khác. Máy khá mỏng nhẹ, cầm chắc tay, cảm biến vân tay hơi chậm, nhận sai nhiều, camera khá ảo, máy dùng nhanh bị nóng Tiki kích hoạt bảo hành sớm giúp mình nhé",4
DƯơNg ĐìNh Trung HiẾU,Hàng nguyên seal. Đóng gói cẩn thận. Có sẵn ốp lưng và miếng bảo vệ màn hình. Chưa thấy gửi tin nhắn kích hoạt bảo hành điện tử.,5
TrẦN Minh LuÂN,"Điện Thoại Samsung Galaxy A50 (64GB/4GB) - Hàng Chính Hãng.Samsung Galaxy A50 là đại diện cho các dòng máy A-Series thê hệ mới của hãng điện tử Hàn Quốc, có rất nhiều điểm mới từ thiết kế đến phần mềm.",5
Hoang Duc,"Hàng chính hãng mới 100%, còn nguyên seal. Dùng rất ổn. Màu trắng đẹp hơn màu xanh. Giao hàng nhanh. Cảm ứng trong màn hình tất nhiên là không nhạy bằng các cảm ứng khác rồi. SP đáng mua.",5
Mhb Thu,"mua điện thoại nhập mã khuyến mãi thì không được trả góp lãi suất 0% mà khi ghi mô tả hay lưu ý gì cho khách hàng. Để bán hàng được bất chấp mọi thứ. Tôi sẽ kêu gọi bạn bèm người thân, đồng nghiệp để biết tránh lừa đảo.",1
NguyỄN Anh TÚ,"vỏ hộp còn nguyên niêm phong, dùng sản phẩm tốt, mỗi tội thời gian giao hơi lâu mất gần 4 ngày để chờ máy về mặc dù ngay trung tâm Hà Nội, nhận được máy xong rất phấn khởi, hài lòng",5
NguyỄN Phi TriỀU,"Mua hàng trên tiki nên tin tưởng hàng chính hãng, được kích hoạt bảo hành ngay khi nhận hàng. tiki giao hàng nhanh và chất lượng, về sản phẩm A50 thì ok, máy nhanh, nhưng vân tay quang học hơi cùi toàn mở khóa gương mặt",5
NguyỄN ThỊ Kim LiÊN,"Mình mua rồi, sp rất mới, xinh, còn nguyên seal, giao hàng hơi lâu. NHƯNG MÌNH KHÔNG BIẾT KÍCH HOẠT BẢO HÀNH NTN. TIKI BÀY MÌNH VS",5
LÊ Phong ToÀN,"Tiki giao hàng nhanh, đóng gói cẩn thận. Hàng nguyên seal, có tặng kèm ốp trong, dán sắn màn hình, có kèm sạc nhanh 15W. Thương hiệu Samsung với giá thành như thế là ok lắm rồi. Tuy nhiên cảm nhận xài không mượt mà lắm",5
LƯơNg VĂN ThiỆP,"Mình mua được một thời gian, ngay từ đầu thấy sóng yếu, nhưng tạm chấp nhận, thời gian gần đây hay bị mất kết nối mạng (người khác gọi bị thuê bao ko liên lạc được) Bị 3 lần trong một tháng.",5
ĐớI NgỌC QuỲNh,"Máy mỏng nhẹ, cầm ko bị cấn tay nhưng có một số điểm khá kém: - Cảm biến vân tay dưới màn hình quá tệ: nhận siêu siêu chậm, nhận sai nhiều và khi tay ướt thì chịu luôn - Camera chụp đêm rất kém.",3
ThÀNh Long,"bên mình mới nhận hàng vào ngày hôm nay (08/07), nhưng khi mở máy kiểm tra bảo hành thì máy đã được kích hoạt từ ngày 30/4/2019. nhờ support tiki trả lời giúp mình trường hợp này",2
NgÔ TuẤN Minh,"Hàng giao đúng thời gian, máy mới 100% nguyên seal, nhân viên cho phép mở hộp ra kiểm tra. Chúc TIKI ngày càng lớn mạnh, chiến thắng mấy tập đoàn ngoại quốc, ủng doanh nghiệp nội.",4
Nguyen Chien,đã nhận sản phẩm sau 2 h đặt hàng. sản phẩm đóng gói kỹ chắc chắn. nguyên tem. máy dùng ổn trong tầm giá. và dc mua rẻ hơn thị trường. sẽ ủng hộ tiki dài dài.,5
LÊ Anh Duy ThỊNh,"Tiki giao hàng 2h rất nhanh, mới đặt sáng mà chưa tới 10h đã có rồi, điện thoại đẹp, chụp hình tốt, chạy ứng cũng khá mượt, vote 5 sao :)))",5
NguyỄN LÊ Uy VŨ,máy vào liên quân bấm cảm ứng các góc ko nhạy. bấm liên tục 5-7 lần mới đc. pick tướng xong tới chạy % vào game. nó đứng 1% phải thoát ra vô lại. cảm biến vân tay thì cực tệ ko xài được,1
LÂM NhƯ BẢO,"Hôm nay,21 mình vừa nhận sản phẩm tất cả mọi việc đều yên ổn cho tới khi mình check imei máy với imei trên vỏ hộp sản phẩm.",4
Linh Linh,"Mình nhận được điện thoại nguyên seal, y như thông tin mô tả trên trang web. Gọi điện lên tổng đài hỏi về bảo hành thì được hỗ trợ rất tận tình. Giá mua sale rẻ nhất thị trường nữa",5
ĐàM NhỰT Duy,"Hài lòng với chất lượng từ Tiki. Máy còn nguyên seal, và thời gian giao hàng nhanh. Được kích hoạt bảo hành điện tử sớm hơn 1 ngày trước khi nhận hàng luôn ^^",5
LÊ NgỌC HiẾU,Giá rất tốt. Máy giao nhanh. Cần sử dụng thêm mới đánh giá được độ bền và service :D,5
DƯơNg VƯơNg,"Máy chính hãng chưa kích hoạt bảo hành,sp rất ok,cám ơn TIKI",5
PhẠM Linh Chi,"Shop ơi ! Mình mua samsung A50 ngày 27/4/2019 mình đang xài tự nhiên tất nguồn , giờ mình muống bảo hành thì phải làm sao shop",1
LÝ Minh NgỌC,Đặt hàng ok.gjao hàng nhanh .hàng chưa kích hoạt hoạt. tiki kích hoạt bảo hành sản phẩm. Chỉ sợ hàng đã kích hoạt rùi.,5
Dang Huong,Vừa nhận hàng sáng nay. Mỏng nhẹ đẹp. Chưa dùng nên ko biết có sao ko. Hy vọng cũng ổn. Phía trên máy hơi nóng. Máy mới chưa kích hoạt Tiki kích hoạt bh giúp mình với.,4
NhÂM NgỌC HiỂN,"Dịch vụ Tiki now thực sự nhanh, rất hài long. Tuy nhiên đang băn khoăn về thủ tục trả góp qua thẻ tín dụng, tôi có đăng ký nhưng không thấy ngân hàng liên hệ thông báo gì",4
NguyỄN ViẾT HƯNg,"Điện thoại chính hãng, còn nguyên tem. Máy đẹp trong tầm giá, chưa thấy lỗi gì. Kích hoạt bảo hành giúp mình nhé!",5
Huong Tran,"đt xài ok,giao hàng nhanh,lần thứ 3 mua hàng điện tử của tiki rồi ưng ý, rất thích dịch vụ giao hàng sau 2h của tiki , giá thì rẻ hơn nhiều mà hành chính hãng nữa.",5
ThƯơNg Đỗ,Tiki giao hàng nhanh và đóng gói cẩn thận. Máy đẹp và mượt. Độ bền thì phải sử dụng 1 tg mới biết. Nhờ Tiki kích hoạt bảo hành giùm. Cám ơn,4
HỒ Thanh Long,"Máy nguyên sy, may về máy ngày nhận được tin nhắn kích hoạt bảo hành, thank tiki",5
NguyỄN ThiỆN,Máy quá đẹp. chụp hình quay phim đẹp. Dùng app của hãng thứ 3 có thể quay 4k 120fps. Mở khóa vân tay tạm được. Loa rất to. Sạc pin khá nhanh. Vô địch trong tầm giá,5
Phan LÝ TrÚC Anh,Dòng máy A50 mới của Samsung Galaxy tuyệt vời ở phân khúc tầm trung. Mua được máy chính hãng mà còn được Tiki giảm giá và hỗ trợ trả góp 0%. Hài lòng vô cùng.,5
HÀ HƯơNg,Mỏng nhẹ. Hiển thị màu đẹp. Chơi PUBG khá tốt. Camera khá ok. Chưa thấy phát sinh than phiền nào sau hơn 1 tuần.,5
Quang Minh,mới nhận máy hôm qua của tiki mình ở tân bình sim 1 viettel sim 2 mobi mà sao sóng yếu quá không biết lỗi phần cứng hay mềm hay do khu vực,4
DINH VAN VUONG,Đã sử dụng. Máy chạy mượt. Chụp ảnh đẹp. Công nghệ hiện đại. Điểm 10 cho chất lượng vói tầm giá.,5
NguyỄN Trung,"máy đẹp, nguyên seal, dù kích hoạt trước ngày mình mua nhưng có nhân viên cskh hỗ trợ xử lý nên cũng yên tâm",5
BẢO NguyỄN,mới nhận lúc trưa.. ok hài lòng all.. máy chụp hình rất đẹp..,5
NguyỄN Minh Quang,Mình mua của nhà cung cấp tiki trading . IMEI trên máy trùng khớp với vỏ hộp . Bảo hành điện tử đầy đủ ae nhé . Cho tiki 1 👍👌👌,5
LÊ TƯờNg Vy,"Mua nhận hàng trong vòng chưa tới 1h. Máy y hộp, màu đẹp. Mình mua cho em trai, em khen quá chừng 😊😊😊😊. Tới hiện tại chưa thấy điểm gì chê cả.",5
NguyỄN ThẢO,máy tôi sau khi sử dụng được hơn 4 tháng nay màn hình bị lỗi thì có thể mang tới đâu để bảo hành sửa chữa và có mất chi phí gì không ???,1
TrỊNh BĂNg SƯơNg,máy em bị sập nguồn. Hạn bảo hành tới tháng 12/2020. Em muốn hỏi tiki mang máy sửa giúp em hay em phải ra chỗ Samsung để sửa ạ,5
Quang Nguyen,"Điện thoại đóng gói đẹp, chất lượng âm thanh tốt. Màn hình sáng.",5
LÊ ĐứC Anh,"Mình đã dùng sản phẩm được 1 thời gian và thấy sp rất ổn. màn hình đẹp, thời lượng pin tốt và có tính năng vân tay nhúng màn mà mình rất thích",5
Phan Thanh BẰNg,"1) Sản phẩm có nhiều tính năng mạnh mẽ, chất lượng tốt, mẫu mã đẹp; 2) Tiki giao hàng rất sớm, vượt ngoài mong đợi (sớm hơn cả tuần lễ).",5
ÁNh NguyỄN,"Giao hàng ngoại tỉnh nhưng rất nhanh, trong vòng 24h từ lúc đặt hàng. Kích hoạt bảo hành dùm tôi với số IMEI theo hình.",5
HoÀNg DiỆU,"Giao ngay trong ngày 22/3. Nhìn chung thì tốt, sài rồi mới biết ok hay không",4
Vinh ĐOÀN,"Hàng chính hãng, nguyên seal, mới 100%, chưa Active. Tiki giao hàng nhanh. Tiếp tục ủng hộ TIKI",5
Nam PhÙNg,"Hàng nguyên seal, chưa active, đóng gói cẩn thận, giao hàng nhanh. Điểm 10 cho chất lượng.",5
Minh TuẤN,"ĐT mình mua lỗi màn hình ám vàng nặng , vân tay hầu ko sử dụng đc . Bị 2 lỗi đó thôi ngoài ra đt đẹp mỏng cầm sướng tay lắm .",2
NguyỄN SƠN TÙNg,tiki giao hàng nhanh.. gói hàng cẩn thận. nguyên seal Điện thoại thì xài ok lắm nha.. Pin thì bao trâu. chụp hình rất đẹp seo với tầm giá..,5
VÂN BÙI,"máy mình tự dưng bật ko lên nguồn nữa, mà vẫn còn hiện kết nối bluetooth với đồng hồ, giờ muốn bảo hành thì làm sao hả tiki ?",3
Son Le,"Sản phẩm đẹp, giao hàng nhanh, sử dụng tốt, rất hài lòng",5
NguyỄN VĂN ThuẬN,Máy chất lượng chính hãng đẹp. tiki không làm mình thất vọng sẽ ủng hộ tiki tiếp. mà có cái ko biết kích hoạt bảo hành làm sao ?,5
Nguyen Huy Trinh,"tiki giao hàng nhanh, đăt hôm thứ 6, chủ nhật giao. nhân viên giao hàng vui vẻ. nhờ bên tiki kích hoạt bảo hành giùm nhé.",5
TrẦN HÙNg,sao máy đã kích hoạt bảo hành vậy tiki? ko thấy mô tả tteen sản phẩm là đã kích hoạt.mình kiểm tra trôi bảo hành 2 tháng,3
TÔ TiỂU PhỤNg,"Đã sử dụng hơn 1 tháng, ngoài thỉnh thoảng màn hình hơi giật nhẹ lúc sử dụng ra thì ko có vấn đề gì. Máy rất mượt.",5
Kim LiÊN,"Máy khá ổn, pin dùng được lâu, chụp hình đẹp. Tuy nhiên máy chạy hơi chậm",4
NguyỄN HoÀNg ViỆT,"Tiki giao hàng 2h nhanh chóng, maý nguyên seal, đẹp long lanh, chạy mượt mà.",5
Linh Tu,Chỉ sử dụng để nghe gọi nên mua máy này vì có pin trâu. Mọi thứ khác hoạt động ổn trừ cái vân tay,5
NguyỄN ThỊ ThƠ,"mình nhận được hàng rồi, máy mới, hàng chính hãng, mỏng nhẹ, nhưng mau hết pin, tiki kích hoạt bảo hành giúp mình với",4
TrẦN VĂN Hai,ok Tốt trong tầm giá tự động kích hoạt bảo hành sản phẩm sau khi mua sài ok,5
Nguyen Chung Ngoc Thuy,"Giao hàng nhanh, đóng hói cẩn thận. Về máy mình mua được 2 tuần và xài cũng rất OK. Bảo hành đúng 12 tháng.",5
Pham Quang Yen,Mất 2 3 giây mới nhận vân tay. Có thể coi như bỏ phần vân tay vì dùng rất khó chiu. Mặc dù đã cập nhật bản update 05/2019,3
VŨ ChƯơNg,"Chiều qua lúc hơn 5h tôi có đặt hàng qua Tikinow thế mà đến h vẫn chưa thấy giao nữa nhỉ, hy vọng trong hôm nay nhận được hàng",3
LÊ ThÀNh ĐOÀN,- Giao hàng nhanh - Máy tốt trong tầm giá - Không biết làm thế nào kích hoạt bảo hành điện tử cúa máy mới,5
YẾN Roy,Chạy mượt lắm ạ. giao nhanh và ko trầy xướt. rất ưng luon,5
NV ĐứC,Dùng ổn định. Chạy mượt. Có lỗi xung đột phần mềm nhung được hướng dẫn sửa lỗi . Đanh giá toits,4
ThÁI ChÍ QuyỀN,"giao hàng nhanh hơn dự kiến, sản phẩm còn nguyên seal, máy chạy mượt, pin trâu, vân tay đã nhạy hơn nhiều, camera hơi ngon",5
Giang Tuan,Vui long kich hoat BH cho ĐT cua toi nhe! So EMEI 356646101960649. Con cam on,5
Lam Vu Phuong Thy,Tôi luôn tin tưởng vào tiki và đã nhận được hàng vừa ý giá rẻ. Tôi sẽ tiếp tục đồng hành cùng Tiki. Cám ơn nhiều,5
ĐầU ĐInh,Có việc gấp nên đặt Tiki Now. Giao hàng rất đúng giờ. Sản phẩm được đóng gói cẩn thận. Hàng còn nguyên Seal,5
TrỊNh HỮU TÂM,Dùng ổn .,4
Vy HuỲNh,"Sản phẩm sử dụng rất mượt, sử dụng cáp type C sạc nhanh, thời gian sử dụng của pin dài.",5
BÙI Anh VŨ,"hàng đóng gói cẩn thận, đúng chính hãng, điện thoại sử dụng các tác vụ bình thường mượt mà",5
ThÂN HoÀI Nam,"máy xài mượt, camera đẹp, pin trâu, tiki giao hàng nhanh, hàng không bị lỗi...sẽ ủng hộ tiki",5
Liem Duy (DaiKaGiac),Máy sài ok. giao hàng nhanh. Mong tiki sẽ có giá sale mạnh cho khách hàng,5
NguyỄN HỮU QuÍ,"Hàng đóng gói cẩn thận, nguyên hộp chính hãng, chưa kích hoạt bảo hành nhờ bên bán kích hoạt dùm. cám ơn",5
TrẦN NgỌC Nam,"Máy sạc khá chậm, chụp hình ko đẹp như quảng cáo, nhìn chung dùng cũng được so với tầm tiền.",4
HỒNg NgỌC DiỄM,"Giao hàng nhanh, đóng gói kỹ, máy mỏng nhẹ có điều tụt pin khá nhanh. Nhờ tiki kích hoạt bảo hành dùm ạ",5
KIM JUNG WOONG,배송도 빨랐고 삼성정품에 보증기간도 따로 삼성에서 문자로 왔습니다. 강추해요~! cuc ky hai long :) cam on,5
Van Ly,"ĐT tốt, nhanh, đủ các chức năng cần thiết trong tầm giá. Chụp hình ổn so với các dòng tương tự.",5
PhƯơNg HÙNg,"Hàng nguyên seal, chất lượng tốt, đáp ứng hoàn hảo yêu cầu của người dùng",5
Zalo Duy KhÁNh,"Hàng chính hãng. Dùng tốt chưa thấy vấn đề gì. Loa dòng này hơi tệ, mở to bị rè",4
Quang HƯNg,sản phẩm chưa kích hoạt bảo hành nhưng tại sao mình mua ngày 30/06 kích hoạt bảo hành lại từ 30/04?,4
