name,comment,star
QuỲNh Anh,"Mua hồi tháng 2 lúc giảm còn 5 triệu mấy .Ai cũng chê nhưng xài 1 tháng rồi mọi thứ đều ổn.Nhân viên tư vẫn nhiệt tình, tầm trung nên không thể đòi hỏi vân tay nhạy.Chs game ít khi bị giật lag.Thiết kế đẹp mắt.Màu lưng máy siêu đẹp.Nói chung những bạn có túi tiền tầm tầm thì vẫn nên mua rất tốt,dành cho làm việc giải trí đều ok.Tin dùng Samsung bao năm",5
PhƯơNg Anh,Mới đầu mua mình có nghiên cứu rồi xem nhiều các đánh giá của các bạn đã mua. Nhưng sài được hơn 1 tháng rồi mà máy vẫn ngon pin trâu không hề giật lag như các bạn nói. Tóm lại là rất hài lòng về máy cũng như phục vụ của nhân viên ĐMX.,5
NguyỄN QuỐC KhỞI,tôi vừa mới mua lúc ság máy chạy siêu mượt ko có hiện tượng giật hay lag pin ổn định vân tay tuyệt vời khuôn mặt cũng rất tuyệt vời chơi game thì bao ngon anh em cứ yên tâm khi sử dụng con a50 không hiểu sao các bạn lại chê thậm tệ như vậy.Nhân viên chu đáo nhiệt tình,5
NGUYỄN THỊ THỦY TIÊN,"Máy chạy tốt, dùng lâu cảm giác máy máy hơi nóng. Pin cũng dùng lâu. Thiết kế đẹp mắt. Camera chụp hình khá nét. Mua lúc giảm giá 4tr990 nên cũng khôg dám yêu cầu gì nhiều. Nhân viên phục vụ rất tốt, nhiệt tình",4
Anh Nhut,"Có cái điện thoại mà sóng sánh làm không nên, bắt sóng yếu, không ổn định thua cả điện thoại tàu. Ai có chơi game hay cần làm việc gì cần sóng ổn định thì ko nên mua. Vote 0 sao chứ 1 sao cũng không đáng",1
PhƯợNg ChiÊM,sau khi cập nhật phiên bản mới vào ngày 26tháng 3 song không đăng kí được vân tay luôn,2
TuẤN Anh,"Hiệu năng máy tốt, chip ổn đủ để chơi game lướt web,... Sóng lúc mạnh lúc yếu, đa phần là khá yếu chỉ từ 2 đến 3 vạch. Nóng nhanh, có lúc máy cực kì nóng. Nhunge máy rất đáng mua.",4
ÂU QuỐC CƯờNg,"Hiệu năng : ● Máy dùng rất tốt nhé mọi người, cái vân tay quang học cũng nhạy mình quét vài lần là quen. Máy này android không phải ios nên khi dùng mọi người chịu khó tối ưu máy mỗi ngày thì máy sẽ mượt mà mọi tác vụ Game : ● Liên quân fps cao 60 fps không tụt chơi rất mượt có điều do màn hình dài nên nhả chiêu dần sẽ quen, còn pubg thì ổn nhé Camera : ● Chụp nét ổn, quay video còn rung nếu bạn nào muốn camera đẹp thì thêm ít tiền mua a50s Pin : ● Đủ dùng gần 1 ngày, tắt sạc nhanh cho khỏi chai pin sạc cũng ok không cần đến sạc nhanh là mấy Trên đây là toàn bộ review của mình sau khi sử dụng máy gần 1 năm các bạn cứ tham khảo",5
LÝ VĂN ĐôNg,Máy lỗi này lỗi nọ hết sạc đến mạng không bắt được 4g dù mấy máy khác 4g khỏe anh em k nên mua mua một lần hối hận luôn,1
BẢO Khanh,"Máy hơi nóng là có hiện tượng loạn cảm ứng , chơi game hay nhập bàn phím thì không ăn nhảy loạn xạ, tác vụ hằng ngày thì lâu lâu bị đứng r văng,.....",1
VƯơNg QuÝ,Cổng sạc quá dở . Máy thông báo phát hiện đổ ẩm không cho sạc . Dù không hề rớt xuống nước hay dính bụi bên trong Mang ra tgdd thì họ nói bị cổng sạc bị oxi hóa nên đổi cho cái khác .. Đến hôm nay cái này tiếp tục bị y hệt như vậy Quá thất vọng,1
NguyỄN NgỌC BẢO Nghi,"Loạn cảm ứng liên tục dù mới mua vài tháng. Bực cả mình. Nhiều khi đang gấp làm công việc trên đây mà nhấn thì không ăn, đứng lag",1
Tran Huu Tinh,"sản phẩm nhanh hỏng mic, mới mua được hơn tháng đã hỏng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1
LÊ ThẠCh Duy Thanh,Máy loa ngoài mau hư. Mới xài mak hư rồi. Cục sạc theo máy cũng hư luôn. Nãn gì đâu mới ra hoàn tiền rồi. Tốn tiền dán kính cường lực tốn xăng nữa,1
NÔNg ĐứC PhÚ,"Máy như "" ... "" Tự hiểu nó lắc vô cùng có khi lag màn hình và đứng luôn ( gặp thường xuyên chứ hong phải đôi lúc ) ok. nhưng mà đối với phân khúc tầm trung giá tiền như vậy là "" không thể chấp nhận được "" méo hiểu tại sao như vậy mà không hề giảm giá nữa chứ kiểu như samsung "" rất tự hào "" về sản phẩm dị á khinh dễ sợ nói chung tui có kinh nghiệm về máy này và rất sợ nên anh em đừng mua nhé tui là người đã trải nghiệm và chia sẽ cho anh em máy tui sài 1 tháng đầu là có hiện tượng dị ời nên mới dám nói máy hiện tại hơn 5 tháng ời nên anh em đừng mua dòng máy này nha kẻo như tui...",1
Nguyennamthanh,Quá thất vọng về a50 . Bắt sóng kém kinh khủng luôn. Không biết do phần mềm hay phần cứng do nhà sx nữa vậy,1
LÊ QuỐC HƯNg,"Máy dùng tác vụ thông thường thì khá ổn nhưng pin hơi yếu , vân tay rất bất tiện khi bỏ điện thoại trong túi quần vì bị chạm nên không dùng được",3
Mai NgỌC QuÂN,sam sung mua mới khi ra tiệm sửa thì mới biết thiếu ốc vit bên trong chắc là đã bán nhầm sản phẩm đã qua bảo hành như vậy không tốt,1
Quanghiep,"Sau khi cập nhật bảo mật ngày 11.11.2019 thì nhận diện vân tay cực kỳ tệ. Rất mong samsung sửa lỗi này, đồng thời nên gỡ ứng dụng do 360 phát triển.",3
Nam,"Sau khi sử dụng hơn tuần. Mình thấy pin quá kém, sóng thì cực kém luân. Đã sai khi mua",2
Tin Tin,"Mấy mua tại dmx thị trấn nam ban, lâm hà, lâm đồng. Mọi thứ đều ổn. Trừ cái khoản vân tay sau khi cập nhật bản vá ngày 1/12/2019 . Mong sẽ update lại",4
BÙI VĂN HoàNg,"Mua 2 máy a50 máy mới dùng lượng pin 4000mAh mà so vs samsung j7 pro pin chi có 3600mAh ma k bằng j7 PRO thua về mọi mặc,mất lòng tin bên hãng,va k thich chinh sach đỗi trả bên tgdd,tôi đã tin tưởng và mua hàng bên tgdd và dmx,nhưng giờ tôi phải nghĩ lại trước khi mua hàng bên tgdd,và dmx...",1
NguyỄN HÙNg,Hối hận khi mua máy này máy 2 SIM mà gắn vào sử dụng mạng chậm pin mau hết cục sạc theo máy 3 tháng hỏng,2
HỒNg PhƯợNg,Trải nghiệm được 1 tuần.máy dùng rất ổn.sạc đúng chuẩn sạc nhanh.nhân viên TGDD chi nhánh Bùi Thị Xuân_Đà Lạt rất nhiệt tình.mình rất hài lòng.,5
TiẾN,"Nhìn chung máy đẹp mọi chức năng đều ok..pin khá trâu. Nhưng chơi game k đc mượt cho lắm, có hỗ trợ sạc nhanh sao sạc thấy khá lau như k có sạc nhanh vậy",4
TrẦN NguyỄN BẢO HÂN,"Máy của mình cũng bị loạn cảm ứng, nhiều lúc đang đọc truyện mà màn hình bị giật liên tục nhìn nhức mắt lắm luôn, với lại hình như máy này không có sẵn máy tính đúng không ad?",3
Linh ĐứC LuÂN,"Dùng tuần đầu đc, sau loạn cảm ứng mặc dù ko chơi game, máy đơ, phần mềm lỗi ko bằng máy 2 triệu",1
Anh TuyẾN,Mình dùng 4 tháng rồi cũng thấy ổn bin dùng được cam tạm được nói chung là được,5
TrỌNg TrÍ,"Sau hơn 1 tháng sử dụng thì e có nhận xét như sau: Điện thoại sử dụng khá tốt, chụp ảnh ở mức tạm được, selfe thì ổn, bảo mật vân tay, khuôn mặt thì tốt, pin thì sử dụng được ngày, xài ít thì đc hai ngày (cũng thoải mái lắm) màn hình thì nói chung là ổn, chế độ AOD thì tốt (1 tiếng mấy mới mất 1% pin, máy chơi game khá ổn, nhân viên tư vấn khá nhiệt tình Nói chung là máy khá ổn so với tầm giá! Xin cảm ơn",5
Nguyen Cam Thi,"Sản phẩm tốt. Lúc đầu thấy mọi người chê quá trời, k dám mua, phân vân ghê luôn. Nhưng t tin tưởng ss thường hiệu nổi tiếng, và k hề sai lầm và hối hận khi mua. Dt mượt, nhanh, pin trâu, sóng 4g ở vùng sâu xa yếu.",5
KhÔI,"Loa samsung a50 bị rè. Hay bị lag. Mọi người đừng nên mua, TÔI THẬT SỰ HỐI HẬN KHI MUA SAMSUSNG A50",1
Kim ĐIỀU,Mình thấy máy dùng ổn mà có lúc chơi game hơi lag còn lại đều ngon so với tầm giá,5
TrƯơNg ThỊ CẨM Nhung,Vân tay khá tệ. Dán kính cường lực về xong k sd vân tay dc luôn. Máy thì hay bị loạn cảm ứng. Cam thì rất oke. Càng sd lâu pin tuột càng nhanh. Hơi bị thất vọng,3
NguyỄN VÕ Minh LỢI,Sản phẩm okk ! Đôi lúc hơi lag nhưng củng ok lắm ! Cảm ứng nhạy ! Pin củng ổn ! Xem yt hay gì củng ok lắm ! Mình đã sử dụng sản phẩm đc hơn 6 thág và cảm nhận là rất ok,5
PhẠM Anh QuÍ,Mạn 4g quá tệ. Thường xuyên mất xóng. Thất vọng. Uôngt phí tiền. Mong có những bản nhập nhập cải thiện 4g,1
Buianhtu,Mình mua dùng được vài ngày phát hiện trong camera có rất nhiều bụi đã đổi mới nhưng cái mới cũng bị bụi lọt vào phải nói chất lượng quá tệ mình đem ra đổi ko được nũa vì họ nói họ không phat hiện có bụi,1
HÙNg NguyỄN,Co ai giống tôi sao máy sử dụng 4G mà tốc độ load quá chậm dù còn 5g tốc độ cao xem youtube thua a10s đều sử dụng mạng Viettel,3
VŨ HoÀNg MY,"Mọi thứ đều tốt, nhưng camera sau 25mp ko đc như mong muốn. Với hai hôm nay chplay của mk ko tải ứng dụng xuống đc ( bị như hình )",4
NhẬT UyÊN,Không phải là bọn mình thi nhau nói xấu samsung chứ bỏ ra gần 7tr để mua con này thì không đáng đâu mọi người những ai mà chủ yếu lướt web hay xem phim thì thấy được chứ riêng mình thấy dở tệ cam,2
TrƯờNg NguyỄN,"Chắc do SS bán được với số lượng và chất lượng quá tốt, nên seeder phải dìm hàng samsung xuống, có ai đặt nghi vấn vì sao các hãng TQ thì không ai chê, nhưng riêng SS thì luôn bị chê thậm tệ? Mình dùng A50 6 tháng, phải nói là quá tuyệt vời, có điều cảm ứng hơi không đc nhạy, có thể vào setting để tăng độ nhạy đc, nên mọi thứ có thể nói là tuyệt vời",5
NguyỄN ThẢO UyÊN,Xài được 3 tháng. Máy cảm ứng bị đơ. Nhiều khi loạn cảm ứng. Bấm phím này nhảy phím kia. Màn hình bị giật. Sim 4g cứ bị mất sóng trong khi điện thoại đồng nghiềp xài phà phà. Quá thất vọng,1
Phuong,Mua xài thấy máy chạy cũng được. Mở khóa vân tay ko nhạy dù đã cập nhật. Camera trước ảo tung chảo. Camera sau nhìn như nhòe hay sao. Ra dmx thì nv bên samsung nói là đó camera sau cơ chế đó làm đẹp quá mức nên chụp xong nhìn nó có kiểu nhòe như vậy. Pó tay. Pin xài ok. Mạng thì ok. Loa to hơi rè. Nói chung chỉ có camera là ko ổn. Bực bội cái gọi là camera 25mp gì đó. Chụp cảnh thì còn dc. Chụp người thì nó nhoe nhóe sao.,2
NguyỄN Truong,"mình mua A50s dụng rồi ! Khuyến các bạn không nên dùng vì sản phẩm kem chất lượng đặc biệt là bộ phận sắc phim , samsung bảo hành kèm",1
NguyỄN TrỌNg Duy,"Tôi đã mua sản phẩm A50-64G được 1.5 tháng và có cảm giác vô cùng thất vọng về sản phẩm này. Máy hay bị đơ và giật mặc dù không chơi game hay tải ứng dụng gì hết, chỉ để đọc báo, tìm kiếm thông tin. Tôi khuyên các bạn có ý định mua điện thoai mới thì đừng nên mua sản phẩm này.",1
NguyỄN Phi DŨNg,"Sản phẩm A50 bị lỗi phần mềm khiến điện thoại sạc phải kéo ra vào từ từ mới vô. Xài được 2 ngày thì cắm sạc vào thì báo kết nối cổng... Sạc không vô nữa. Đem máy đến trung tâm thì được báo phải mở ra kiểm tra. Và anh kỹ thuật viên cầm cái chân sạc mở camera siêu nhỏ có đèn rọi vào và cho mình xem là bị ra ten xanh. Nói do xài điện thoại chỗ ẩm ướt. Giờ vệ sinh chân sạc xong không sạc được nữa là phải thay chân sạc mới với giá là 640ngàn đồng. Nói thật đỗ lỗi để chỗ ẩm ướt hay nguyên do gì đó,nhà có 4cái điện thoại xài đã lâu chẳng bao giờ bị lỗi đó. Nói thật điện thoại các bạn xài mà rọi camera vào thì vẫn thấy ra ten xanh là bình thường. Do chân sạc bằng đồng mà đồng mà không ra ten tui thua gì cũng thua. Điện thoại để nhà thoáng mát có khi còn hơi nóng,chứ đừng nói là ẩm ướt làm hư chân sạc. Máy xài 5tháng thì bị lỗi. Mình khuyên các bạn đừng mua hãng Samsung. Trung tâm bảo hành chẳng qua để các bạn vào đó thay linh kiện và trả tiền thôi. Dám chắc máy mà bị lỗi gì đó thì vào ấy cũng bị phán do xài nơi ẩm ướt. Tôi không phải là thợ sửa nhưng đã sửa và thay linh kiện nhiều điện thoại rồi . Lời cuối là rất là buồn cho 1hãng Samsung có những trung tâm bảo hành phán xét ẩm ướt để tính tiền. Có lẽ các bạn cũng hiểu lỗi do linh kiện quá kém.",1
DƯơNg QuỐC HƯNg,"Máy dùng ngon! Cam ổn, pin ổn! Do ko có nhu cầu game nên ko test! Cũng ko thấy hiện tượng lag giật gì!",5
Duy Anh,"Mik moi mua con A50 này Chụp ảnh như sác chết, gọi mesesg như xác chết Chạy mượt sài ok Gét mỗi camera nhìn như mặt ng chết",4
BÙI VĂN CƯờNg,mới mua mà máy ko tự khoá màn hình được máy hơi nóng dùng không bằng xiaomi tầm giá,3
ĐOÀN Minh Quang,"Máy sài mạng kém, chậm và lác, chơi game thì được tháng đầu chơi mượt qua tháng thì bắt mạng ko nỗi vô game có khi không được hoặc lag và chậm",1
Tung,"Mới mua về vân tay hơi cùi thật nhưng dùng khoảng 1 tháng thì rất tốt, không thua cảm biến cứng là mấy. Pin 4000mAh nhưng chỉ đủ dùng khoảng 1 ngày. Camera có vẻ như màu hơi bị đẩy về gam nóng. Hiệu năng thì chơi game ổn nhưng dùng lâu khoảng 2, 3 ngày không optimise là có giật lag.",4
Anh,"Mới mua 1 tháng mấy ,mà pin nó tuột nhanh lắm,xem phim 45p là tuột 10%, lâu lâu nó hơi loạn cảm ứng và tay đổ mồi hôi thì bấm ko ăn chỉ có cái là sạc nhanh",2
Huy,Mình thấy vân tay nhạy mà minh cập nhật hết luôn để 2 cái vân tay vẫn nhạy ai cũng bảo nó không nhạy :((,5
BẮC,Ae đừng mog chờ gì cái vụ vân tay. Có cho oai thôi. Pin hơi bị chán.dùng tạm thôi thì dc,3
NguyỄN Trung HiẾU,"Khá tốt, trừ cái vân tay hơi kém thì mọi thứ đều ổn. Kết nối mạng khá. Pin dùng tác vụ cơ bản, lâu lâu xem youtube, đọc tài liệu, facebook cũng gần dc 2 ngày.",4
HuỲNh Gia TuỆ,"sản phẩm bình thường, vân tay với nhận diện khuôn mặt quá kém, pin tạm ổn, lướt tin tức bình thường không tuột nhiều pin. chơi game sẽ tuột pin nhanh hơn. nói chung sản phẩm này chỉ phù hợp với giá tầm trung, phù hợp với hs sv hơn những người đi làm. mình mua lúc giảm giá còn 4tr9 thì số tiền bỏ ra hợp lý, còn giá gốc gần 7tr để mua dth này thì không phù hợp",3
Dung Tran,"Mình mua máy được hơn 1 tháng thấy máy xài rất tốt, ko như mọi người đã bình luận, camera rất sáng, chưa bao giờ đứng máy hay bị giật, nói chung mọi thứ đều rất hài lòng.",5
MÃ Duy ThÀNh,"Nói chung chỉ có thể nói là tạm được, máy rất hay giật lác, loạn cảm ứng, lỗi vân tay tùm lum các thứ, giá niêm yết lúc trước gần 7tr mà xài còn thua điện thoại 5tr, rất thất vọng với samsung",2
Le ĐứC ViỆT,Mua được 4 ngày cảm ứng nhạy mở khóa bằng vân tay và khuôn mặt hơi kém nói chung là tạm ổn,4
NguyỄN PhƯớC LẬP,"Sản phẩm đã mua được 4 tháng. 2.5 tháng đầu xài ổn, máy hoạt động tốt. Tháng thứ 3 bắt đầu xảy ra tình trạng loạn cảm ứng, đơ máy -> mang ra trung tâm bảo hành Samsung chạy lại phần mềm. Sau đó thì vẫn tiếp tục xảy ra hiện tượng loạn cảm ứng..",3
TrẦN HoÀNg KhĂM,"Mình có mua một con A50 cách đây 7 tháng thời gian đầu xài mượt mà rất là oke! Nhưng thời gian gần đây máy có hiện tượng loạn cảm ứng, tắt máy mở lại thì hết xong lại bị tiếp, bản cập nhật gần đây nhất không mở được đèn plash mình thật sự thất vọng về samsung",2
LÂM HỮU ThuyẾT,"Update xong tắt mở đèn pin k sáng, flash chụp hình dc mà mở quay phim im ru. Quá chán",2
NguyỄN_ ThÙY,Sản phẩm tốt trong tầm giá. Máy sử dụng rất ok. Nhân viên nhiệt tình cju đáo. Rất hài lòng,5
CƯờNg,"Mới mua 4580k, máy tốt trong tầm giá, nói chung ngon, camera tốt, pin tốt, màn hình ngon!",5
NguyỄN HÙNg,"Sau 2 ngày sử dụng tôi thấy pin 4000mah của máy không trâu cho lắm có thể ngang với j7 prime . vân tay lúc nhận lúc không , sạc pin k có đèn báo đang sạc nên cũng khó nhận biết pin đầy hay chưa mà sao pin đầy 100% rút ra bấm vài cái là tục 1% rồi không hiểu sao nữa",3
KhÁNh PhƯơNg,Sau khi cập nhật phầm mềm 8/10/2019 thì thấy tiến triển hơn. Pin tuột nhanh hơn tuôt quần.... Chán. Đt thì rớt giá bạch bạch.... 😔,2
TiỆM NguyỄN,Pin thì cũg hụt khá nhah. Riêng cảm ứng nt k nhạy lắm. Haiz. Nt mà thấy bực mk. K bằg con ghẻ cũ từg dùg nt mượt hơn nhiều,2
Ha,Máy gì mà để túi quần tự sáng màn hình .dùng tay lắc nhẹ cũng lên mà ko cần chạm màn hình ko biết làm sao nữa,1
TÂN,Pin như 2000mAh vậy. Mới mua máy 1 ngày mất 1%/30p tắt màn hình. Chơi game offline VD:(Zombietusnami thì 6 phút mất 1%).,1
NghĨA NguyỄN,Xài 1 tháng chụp văn bản mà máy cũng xóa phong. Sạc pin cực nóng luôn.pin tụt thì nhanh. K nên xài chip exynot,1
ThƯơNg QuỐC,Pin 4000 mah mà để qua đêm tụt mất 5% mở lên bấm vài cái mất thêm 1% nữa.... cảm ứng thì k nhạy...bấm có lúc 2 3 lần mới ăn.... các bạn nên cân nhắc khi mua... tôi mới chỉ mua có nửa ngày thôi,2
Pha,Hiện tại mình dùng máy hơn 1 tuần r mình cảm thấy máy rất tốt k có j như mấy bạn đánh giá k tốt,4
PhẠM NgỌC ChÂU,Sao ai củng kêu pin trâu mà e mới mua 1 ngày. Dùng pin xuống nhanh lắm kg biết có bị lỗi hao nguồn kg. Tắt hết ứng dụng. Mà xuống vẩn nhanh. Khởi động lại cũng thế. Chán quá. Ad giải đáp giùm,3
Minh HẰNg,Pin bền sóng khỏe mình không chơi game nên dùng rất tốt ko có gi phải chê cho 5 sao luôn,5
ĐàO XuÂN Sinh,Cảm ứng quá chậm. Tiếp điểm kém . Mới trải nghiệm đc hơn nửa tháng mà thấy quá tồi. Lựa chọn sai lầm khi mua nó .,1
NguyỄN BỬU,Cảm ứng rất tốt. Pin trâu. 3 ngày mới phải sạc lại. Cảm ứng vân tay cũng rất nhạy. Game tốt ko lag. Rất mượt sau khi update hệ thống. Máy mua đã được 3 tuần. Tuyệt vời trong tầm giá.,5
NgÂN,"nhìn tổng quan thì đẹp. nhưng pin mau hết máy mau nóng. pin 4k mà xài thua j4+, j7pri",3
Anh QuÝ,Mình mua máy trong tầm giá 5 triệu rưỡi nói chung là ok.Màn hình đẹp camera thì ok pin trâu....Nói chung là ok trong tầm giá,5
NguyÊN KhÔI,Tôi rất thích sản phẩm này màn hình đẹp giá cả hợp lý tôi rất thich,5
LÊ Minh,Hiện tại mình dùng máy hơn 1 tuần r mình cảm thấy máy rất tốt k có j như mấy bạn đánh giá k tốt,5
Thanh,Mình mua máy từ 20/5 tới nay là 5 tháng 1 ngày máy dùng ok không có gì đáng chê . Chỉ chê là chê những bạn chưa xài mà phán như đúng rồi ấy. Còn về cảm biến vân tay sau lần cập nhật hôm 9/10 đã cải thiện rất tốt chỉ cần các bạn đặt ngón tay đúng vị trí là ổn thôi,5
KhÔI,"Mới mua về sạc pin lần đầu điện thoại rất nóng,ra tgdd nhân viên bảo là có thể do xung đột phần mềm nhưng nay nữa tháng rồi vẫn vậy.hỗ trợ sạc nhanh vì máy mau tuột pin à.",4
MẠNh,Sản phẩm tốt nhưng e bật đèn flat cảm giác xung quanh mặt sau nó như bị hở ý ạ. Mong mọi người hướng dẫn ạ,4
An,"Nhấn đúp để mở màn hình phải đợi 1 tí nó mới chiệu lên cho mở máy bằng vân tay, sóng của sim được 1 cục, 2 cục sóng, pin nhanh hết. Thế giới di động giờ nhập hàng về bán quá kém.",1
An,"Cho 1 sao cho a50. A50 và a50s đang rất nhiều. Sóng 4g của sim lúc nào cũng 1 cục, 2 cục, pin nhanh hết. Mọi người cân nhắc khi mua a50 và 50s.",1
NguyỄN Duy ĐA,Sử dụng được 1 tuần thấy máy rất tốt trong tầm giá. Nhân viên tư vấn nhiệt dễ thương...,5
Huy,Không chê bất kỳ thứ gì chỉ có camera chụp ảnh là ko đẹp nên ko quan tâm lắm .chơi game liên quân cũng ngon đánh 5 ván liên tục ko thấy nóng ở mặt sau máy vậy là ổn rùi,5
GiÀU,"Mua được 6 ngày đang sài sập nguồn mở không lên nguồn lại được, nhờ bên tgdd hổ trợ giúp",3
TriỆU VĂN Linh,Kém. Quá kém so với điện thoại trung quốc.4 nghìn gì hết nhanh. Nóng máy. Loa rè. Chơi gem âm thanh bé tí. Không to như lúc nghe nhạc. Sạc thì chậm xả pin thì nhanh. Được mối quả màn hình tạm được,1
NgỌC,Mình mới mua máy được 6 ngày.hôm nay gặp tình trạng mất sóng như thế này.1 sim thì sóng khỏe.1 sim thì ko có sóng.mà cả 2 sim đều là sim 1viettel sim 4G mới như nhau.chắc chắn ko phải do sim mà do máy.khi thì cả 2 sim vẫn hiện 2 vạch sóng.nhưng gọi đi ko được.máy khác gọi đến thì thuê bao.,1
TrƯờNg NguyỄN,"Chắc do SS bán được với số lượng và chất lượng quá tốt, nên seeder phải dìm hàng samsung xuống, có ai đặt nghi vấn vì sao các hãng TQ thì không ai chê, nhưng riêng SS thì luôn bị chê thậm tệ? Mình dùng A50 6 tháng, phải nói là quá tuyệt vời, có điều cảm ứng hơi không đc nhạy, có thể vào setting để tăng độ nhạy đc, nên mọi thứ có thể nói là tuyệt vời",5
NguyỄN ThẢO UyÊN,Xài được 3 tháng. Máy cảm ứng bị đơ. Nhiều khi loạn cảm ứng. Bấm phím này nhảy phím kia. Màn hình bị giật. Sim 4g cứ bị mất sóng trong khi điện thoại đồng nghiềp xài phà phà. Quá thất vọng,1
Phuong,Mua xài thấy máy chạy cũng được. Mở khóa vân tay ko nhạy dù đã cập nhật. Camera trước ảo tung chảo. Camera sau nhìn như nhòe hay sao. Ra dmx thì nv bên samsung nói là đó camera sau cơ chế đó làm đẹp quá mức nên chụp xong nhìn nó có kiểu nhòe như vậy. Pó tay. Pin xài ok. Mạng thì ok. Loa to hơi rè. Nói chung chỉ có camera là ko ổn. Bực bội cái gọi là camera 25mp gì đó. Chụp cảnh thì còn dc. Chụp người thì nó nhoe nhóe sao.,2
NguyỄN Truong,"mình mua A50s dụng rồi ! Khuyến các bạn không nên dùng vì sản phẩm kem chất lượng đặc biệt là bộ phận sắc phim , samsung bảo hành kèm",1
NguyỄN TrỌNg Duy,"Tôi đã mua sản phẩm A50-64G được 1.5 tháng và có cảm giác vô cùng thất vọng về sản phẩm này. Máy hay bị đơ và giật mặc dù không chơi game hay tải ứng dụng gì hết, chỉ để đọc báo, tìm kiếm thông tin. Tôi khuyên các bạn có ý định mua điện thoai mới thì đừng nên mua sản phẩm này.",1
