name,comment,star
Hoang Synguyen,Cập nhật mới nhất cho camera ổn định hơn.. sac pin nhanh hơn.. máy cầm pin cả ngày làm việc.. tốc độ nhanh với bản ram 6GB.. tự dộng điều chỉnh ánh sáng tốt. 4G hoạt động ổn định ở 2 nhà mạng mobi và viettel,5
Phan TiẾN,Sử dụng lúc đầu thì ok. Tầm 1 tháng thì thi thoảng nó lag rồi nó đứng máy. Sau đó nó tự động tắt nguồn mình phải mở lên lại. Thật sự thất vọng vì sự cố này.,1
LÊ KhƯơNg ThỊNh,Máy thường xuyên bị lỗi là người khác gọi vào không được toàn thuê bao bị rất thường xuyên đi làm mà sếp gọi hoài không được chắc bị đuổi sớm,2
BÙI HÀ,"Mọi thứ đều ổn, trừ mở khóa bằng vân tay trên màn hình quá tệ, thà để mở khóa vân tay ở mặt lưng còn tốt hơn.",4
HÀ,"Cái gì cũng ổn, vớ vẩn nhất là cái cảm biến vân tay dưới mà hình, ấn mãi mới nhận, thà đặt mặt lưng chạm cái được ngay cho đỡ bực mình.",4
Quang,"Máy quá tệ, mua tháng 6/2019, tới bây giờ mới có vài tháng mà lác kinh khủng, có lúc giực giực, lúc bấm phím điều hướng thì ko ăn phải tắt nguồn khởi động lại, màn hình lúc ăn lúc ko ăn, ám ảnh samsung",2
LÊ HƯNg,"Xài tháng 4 đến giờ. Như mô tả sản phẩm,tốt hơn so với số tiền mình bỏ ra...nói chung là quá tốt",5
PhƯơNg,T mua máy hôm 8.11 nhưng đến nay sạc pin 6 lần ròi mà mãi 8h mới đầy pin. Vậy trường hợp này thì sao ạ. Có đổi máy đc chưa?,1
Giao,Sao mình thấy máy sài ổn mà sao nhiều bạn chê dữ v..mỗi tội sóq đt hơi yếu thôi...,4
Nhung,Có 4g nhưng kh sài đc màng hình thì nhấn này nhảy kia loa thì rè bắt sóng kém quá,1
NguyỄN VĂN CỚI,Biên bản này sài rất dở. Sử dụng 4G yếu siều. Thua j4 thường nữa. Tôi lằm máy này,1
Linh,"Rất hài lòng về sản phẩm. Máy màn hình đẹp, mượt, pin đủ dùng, chụp hình khá tốt sau khi có bản cập nhật phần mềm. Giá kèm tặng phiếu mua hàng 400k chỉ 6.090.000 vnd, không trừ vào giá nhưng mình mua được vài món phụ kiện tốt. Nhân viên thân thiện, nhiệt tình.",5
VŨ NgỌC HoÀNg Anh,Máy hiện 4g mà vào chơi liên quân thì đã chỉnh đồ họa thấp nhất. Mà k chơi dc game. Vào game chỉ đứng thì làm j?,1
ĐInh TẤN HƯNg,"A50 tệ quá ,mua 30 /4 sài ts giờ loa càg ngày càg nhỏ , sài 4g máy rất nóg , mau tụt pin , đã tắt chế độ 2 chạm để mỡ khoa m.hìh nhưg vẫn nhận diện tào lao , bo trog túi quần hồi lấi ra nhận diện sai vân tay khuon mặt ko đúg 😱 samsung càng ngài càg tệ",2
NguyỄN ThỊ Lan PhƯơNg.,Mình mua máy từ 23.3 đến giờ máy ko có vđ gì hết.chạy mượt.pin khỏe.ko có hiện tượng như các bạn nói.mình thấy máy này rất tuyệt.cảm ơn dmx.,5
TrƯờNg,"Mua đc hơn 2 tuần, máy nhanh và mượt. Đáng đồng tiền bát gạo. Nhân viên tgdd vui vẻ nhiệt tình.",5
HuyỀN,E vừa mua máy đc 1 ngày nhưng mở màn hình khóa lên thì lại xuất hiện vệt hồng như ảnh thì có bị sao không ạ. Với cả e thấy đt nhanh tụt pin quá,3
NguyỄN Thanh TuẤN,"Bữa mình mua 1 cặp 64GB vs 128GB mà xài được 5 tháng bị lỗi kinh khủng, vân tay kém, màn hình loạn cảm ứng nhảy lung tung, pin mau tuột máy nóng. Camera chụp hình hay bị đơ, noi chung sản phẩm Rất Tệ. Nhưng không quên cảm ơn nhân viên DMX rất nhiệt tình dịch vụ hài lòng.",1
PhÚ HẢI,"Chán nhất trong các điện thoại đã dùng. Ai có tài chính trên 6t khuyên không dùng em này. Sạc pin không nhanh, 3h mới đầy pin. Máy nóng, hao pin, lên mạng liên tục 3h sập nguồn. Nghe gọi 1 ngày yếu pin. Chụp hình , quay phim ổn, nghe gọi ôn, ghi âm ok. Sau 3 ngày sài mua con A70 thay thế. Ok",2
Thuyen,Sau 1 time sd đt ss a50 thì mk thấy máy bắt mạng k đc tốt cùng sim mà máy k xem youtube k noi 240p và cấu hình chưa đc tối uu vs chip 9610 nếu so vs chip 7885 cua may a7 2018 thì máy 3 máy 7.tóm lại còn rất nhiều chỗ chưa cua ss a50,3
NguyỄN VĂN Minh,Máy sử dụng lúc đầu chạy êm. Nhưng khoảng được 3 tháng thì máy chạy không nổi. Mặc dù máy vẫn hiện 4g,2
LÊ TẤN PhƯơNg,Cảm ứng không nhạy cho lắm với loa rè quá mới mua chưa được 48 giờ chắc mai đổi máy khác.,2
TrỊNh Nam Trung,Máy nhìn đẹp. Xài thì tệ. Mất sóng liên tục. Thường xuyên bị chửi vì ko gọi đc do mất sóng.,1
LÊ Anh,"máy vân tay cực kém ấn 5 lần thì khoá luôn k cho dùng vân tay , sóng kém , loa kém nghe nhạc như đấm vào tai pin tụt khá nhanh nóng máy chân sạc thì lủng lẳng",2
TrÁNgbt,Mua dc 3 tháng hỏng cù sạc 6 tháng hỏng chân cắm sạc giờ vứt só.chán ss quá.....,2
LÊ Anh,"máy nhận vân tay kém , loa kém m đã phân vân trước khi mua lưaj chọn rất kỹ mà vẫn chán , chân sạc lủng lẳng k khít . máy nóng tụt pin cũng nhanh. mặc dù cải thiện mà rõ vân tay m nhấn vài lần đều k khớp xong bắt đợi 30s, dùng k bằng con a30/64G",2
Tran Van Minh,Máy này tôi xài chạy 4g như còn rùa.tôi kg chơi game.chỉ dùng vào coi phim youtube.mất sóng 4g liên tục,2
Nga,mình mua được điện thoại cách đây ba ngày nói chung là ổn do mình không cần chơi game nên thấy cũng tạm rất ok do mình dùng làm công việc thôi nên thấy được,5
PhẠM CÔNg Minh,Tính năng bảo mật vân tay gì tay ai cũng mở được. Máy chơi game 1 tiếng pin đã giảm 25% mà máy mới mua đc 1 tháng,1
Nhan,Máy sài rất ok mình chưa thấy gì bị lỗi chỉ có sóng yếu thôi dt cũ mình sóng đầy luôn khi đổi sim qua cái a50 này thì có 2 gạch thui còn vân tay thì mình thử khóa bằng mã số thì bó tay 7 lần dc 1 thôi rất tệ còn vượt thì ok phát nào cũng đc các b ah còn về khuôn mặt thì ok rất nhạy còn âm thah thì tạm dc k hay,3
Trung,"Sóng quá tệ, mất sóng liên tục, nhiều lúc có sóng nhưng 4G k dùng được, vân tay quá dở. Mọi thứ khác tạm được.",2
Thanh Hai,Xài ổn mỗi cái youtube dg xem hay bị thoát ngang. Admin có thể chỉ cách nào khắc phục ko,4
TrƯơNg ĐứC DŨNg,Sài rất ok các bạn ạ từ lúc đặt mua máy đến giờ chưa gặp trục trặc gì ( lấy máy từ 23/3/2019 ) mua tại Điện Máy Xanh,5
Mai Van Huy,Ảnh rất nhòe khi chụp văn bản tu xa van tay kém song yếu choi gamer thi dc,1
Hieu,"Mới mua 1 tuần, đt bỏ trong túi quần có cuộc gọi rồi nóng ran lên sau đó bị cong khung đt, chán! Ko biết bảo hành ntn?",2
ĐôNg,Cập nhật bản này đi mấy ông ơi bao mượt nhé từ nay khỏi thay phiền vân tay gì nữa 😎,5
Truong Minh Luan,Sản phần rất tệ. Rất nhiều lỗi. Cảm ứng bị lỗi thường xuyên nói chung k đáng để mua,1
Bui XuÂN Danh,Sóng yếu ko làm gì đc.,1
Mai Thanh HÒA,"Sau nửa tháng sử dụng m có một vài nhận xét sơ sơ, m mua chủ yếu xem phim, chụp ảnh, đọc báo nên thấy máy dùng rất ok, mượt mà, pin bền, điểm trừ vân tay không nhạy, quét 3, 4 lần mới lên",4
Tamtrinh,Máy dùng toàn bị đơ .sập nguồn. Bây giờ còn báo lỗi phần mềm nữa. Cứ phải mang ra cửa hàng nhờ hỗ trợ thế này nản quá,2
PhƯơNg HỒNg,"Mình thì thấy loại này xài tốt, phù hợp giá tiền chắc mỗi người mỗi cách sử dụng khác nhau",5
Van Minh,Máy chi co cai kết nối mạng rất chậm ram 6g cau hih cung ko dên nôi ma xai nhu may ram 3g .vân tay thi kém.dk goi 128g ma xai thua may j7 mih xai luon phí tien khi mua may nay,3
Giang VĂN LỰC,Tôi thấy rất buồn về dòng A50 128g.vân tay kém.âm thanh gọi đến quá tồi .ko đáng đồng tiền.tôi muốn dc hỗ trợ,1
NguyỄN HẢI,Điện thoại quá kém. Luôn luôn đơ cảm ứng. Vừa yếu vừa dỏm. Không đáng tiền mua. Đừng ai mua dòng đt này. Chơi gãme thì đơ cảm ứng k chơi đc ức chế thêm,1
DƯơNg Minh,Sản phẩm xài mấy rất nóng .xuống pin nhah.cảm ứng thí chậm.mang kết nói kém.khuyên ae nên xài loại cao cấp hơn hoặc oppo f11 pro ngon hơn,2
LÊ TrỌNg HiẾU,"Máy xài 1 năm, 1 sim, ko tải facebook =>tất cả đều ổn. Máy này ko dành cho ai tham lam xài nhiều ứng dụng, ko biết xóa rác. Mình xài 4g+ 120k 28g chứ ko giống như mấy cha xài 70k 1 tháng rồi ngồi than chơi game lag. Tất cả gem tùy chỉnh cấu hình trung đều ok. Tôi chơi FF, LQ, KRITIKA, MSS, ZALO, chạy grab mở ứng dụng + định vị cùng chơi gem nhưng vẫn ổn và xài 10tiếng mới còn 10℅.",4
ThuẬN,"Sản phẩm ok,camera chụp cũng đẹp,loa to,pin tạm đc,nhận diện gương mặt và vân tay ổn không tệ như nhữnh đánh giá trên đây",5
HoÀNg Thanh SƠN,Mới dùng 2 tháng sản phẩm đã bị lỗi còn kém hơn mấy cái điện thoại rẻ biết thế đừng mua,2
ĐôNg Hoa,"Lần cấp nhật này , mở khóa vân tay như shit ấy. Mong bl này gửi đến nhà sx samsung",1
LÊ Thanh VŨ,4g giật lang. Kém quá kém với số tiền bỏ ra của t. 8tr. Không còn niềm tin vào sambsung,1
Hoang Synguyen,Cập nhật mới nhất cho camera ổn định hơn.. sac pin nhanh hơn.. máy cầm pin cả ngày làm việc.. tốc độ nhanh với bản ram 6GB.. tự dộng điều chỉnh ánh sáng tốt. 4G hoạt động ổn định ở 2 nhà mạng mobi và viettel,5
Phan TiẾN,Sử dụng lúc đầu thì ok. Tầm 1 tháng thì thi thoảng nó lag rồi nó đứng máy. Sau đó nó tự động tắt nguồn mình phải mở lên lại. Thật sự thất vọng vì sự cố này.,1
LÊ KhƯơNg ThỊNh,Máy thường xuyên bị lỗi là người khác gọi vào không được toàn thuê bao bị rất thường xuyên đi làm mà sếp gọi hoài không được chắc bị đuổi sớm,2
BÙI HÀ,"Mọi thứ đều ổn, trừ mở khóa bằng vân tay trên màn hình quá tệ, thà để mở khóa vân tay ở mặt lưng còn tốt hơn.",4
HÀ,"Cái gì cũng ổn, vớ vẩn nhất là cái cảm biến vân tay dưới mà hình, ấn mãi mới nhận, thà đặt mặt lưng chạm cái được ngay cho đỡ bực mình.",4
Quang,"Máy quá tệ, mua tháng 6/2019, tới bây giờ mới có vài tháng mà lác kinh khủng, có lúc giực giực, lúc bấm phím điều hướng thì ko ăn phải tắt nguồn khởi động lại, màn hình lúc ăn lúc ko ăn, ám ảnh samsung",2
LÊ HƯNg,"Xài tháng 4 đến giờ. Như mô tả sản phẩm,tốt hơn so với số tiền mình bỏ ra...nói chung là quá tốt",5
PhƯơNg,T mua máy hôm 8.11 nhưng đến nay sạc pin 6 lần ròi mà mãi 8h mới đầy pin. Vậy trường hợp này thì sao ạ. Có đổi máy đc chưa?,1
Giao,Sao mình thấy máy sài ổn mà sao nhiều bạn chê dữ v..mỗi tội sóq đt hơi yếu thôi...,4
Nhung,Có 4g nhưng kh sài đc màng hình thì nhấn này nhảy kia loa thì rè bắt sóng kém quá,1
NguyỄN VĂN CỚI,Biên bản này sài rất dở. Sử dụng 4G yếu siều. Thua j4 thường nữa. Tôi lằm máy này,1
Linh,"Rất hài lòng về sản phẩm. Máy màn hình đẹp, mượt, pin đủ dùng, chụp hình khá tốt sau khi có bản cập nhật phần mềm. Giá kèm tặng phiếu mua hàng 400k chỉ 6.090.000 vnd, không trừ vào giá nhưng mình mua được vài món phụ kiện tốt. Nhân viên thân thiện, nhiệt tình.",5
VŨ NgỌC HoÀNg Anh,Máy hiện 4g mà vào chơi liên quân thì đã chỉnh đồ họa thấp nhất. Mà k chơi dc game. Vào game chỉ đứng thì làm j?,1
ĐInh TẤN HƯNg,"A50 tệ quá ,mua 30 /4 sài ts giờ loa càg ngày càg nhỏ , sài 4g máy rất nóg , mau tụt pin , đã tắt chế độ 2 chạm để mỡ khoa m.hìh nhưg vẫn nhận diện tào lao , bo trog túi quần hồi lấi ra nhận diện sai vân tay khuon mặt ko đúg 😱 samsung càng ngài càg tệ",2
NguyỄN ThỊ Lan PhƯơNg.,Mình mua máy từ 23.3 đến giờ máy ko có vđ gì hết.chạy mượt.pin khỏe.ko có hiện tượng như các bạn nói.mình thấy máy này rất tuyệt.cảm ơn dmx.,5
TrƯờNg,"Mua đc hơn 2 tuần, máy nhanh và mượt. Đáng đồng tiền bát gạo. Nhân viên tgdd vui vẻ nhiệt tình.",5
HuyỀN,E vừa mua máy đc 1 ngày nhưng mở màn hình khóa lên thì lại xuất hiện vệt hồng như ảnh thì có bị sao không ạ. Với cả e thấy đt nhanh tụt pin quá,3
NguyỄN Thanh TuẤN,"Bữa mình mua 1 cặp 64GB vs 128GB mà xài được 5 tháng bị lỗi kinh khủng, vân tay kém, màn hình loạn cảm ứng nhảy lung tung, pin mau tuột máy nóng. Camera chụp hình hay bị đơ, noi chung sản phẩm Rất Tệ. Nhưng không quên cảm ơn nhân viên DMX rất nhiệt tình dịch vụ hài lòng.",1
PhÚ HẢI,"Chán nhất trong các điện thoại đã dùng. Ai có tài chính trên 6t khuyên không dùng em này. Sạc pin không nhanh, 3h mới đầy pin. Máy nóng, hao pin, lên mạng liên tục 3h sập nguồn. Nghe gọi 1 ngày yếu pin. Chụp hình , quay phim ổn, nghe gọi ôn, ghi âm ok. Sau 3 ngày sài mua con A70 thay thế. Ok",2
Thuyen,Sau 1 time sd đt ss a50 thì mk thấy máy bắt mạng k đc tốt cùng sim mà máy k xem youtube k noi 240p và cấu hình chưa đc tối uu vs chip 9610 nếu so vs chip 7885 cua may a7 2018 thì máy 3 máy 7.tóm lại còn rất nhiều chỗ chưa cua ss a50,3
NguyỄN VĂN Minh,Máy sử dụng lúc đầu chạy êm. Nhưng khoảng được 3 tháng thì máy chạy không nổi. Mặc dù máy vẫn hiện 4g,2
LÊ TẤN PhƯơNg,Cảm ứng không nhạy cho lắm với loa rè quá mới mua chưa được 48 giờ chắc mai đổi máy khác.,2
TrỊNh Nam Trung,Máy nhìn đẹp. Xài thì tệ. Mất sóng liên tục. Thường xuyên bị chửi vì ko gọi đc do mất sóng.,1
LÊ Anh,"máy vân tay cực kém ấn 5 lần thì khoá luôn k cho dùng vân tay , sóng kém , loa kém nghe nhạc như đấm vào tai pin tụt khá nhanh nóng máy chân sạc thì lủng lẳng",2
TrÁNgbt,Mua dc 3 tháng hỏng cù sạc 6 tháng hỏng chân cắm sạc giờ vứt só.chán ss quá.....,2
LÊ Anh,"máy nhận vân tay kém , loa kém m đã phân vân trước khi mua lưaj chọn rất kỹ mà vẫn chán , chân sạc lủng lẳng k khít . máy nóng tụt pin cũng nhanh. mặc dù cải thiện mà rõ vân tay m nhấn vài lần đều k khớp xong bắt đợi 30s, dùng k bằng con a30/64G",2
Tran Van Minh,Máy này tôi xài chạy 4g như còn rùa.tôi kg chơi game.chỉ dùng vào coi phim youtube.mất sóng 4g liên tục,2
Nga,mình mua được điện thoại cách đây ba ngày nói chung là ổn do mình không cần chơi game nên thấy cũng tạm rất ok do mình dùng làm công việc thôi nên thấy được,5
PhẠM CÔNg Minh,Tính năng bảo mật vân tay gì tay ai cũng mở được. Máy chơi game 1 tiếng pin đã giảm 25% mà máy mới mua đc 1 tháng,1
Nhan,Máy sài rất ok mình chưa thấy gì bị lỗi chỉ có sóng yếu thôi dt cũ mình sóng đầy luôn khi đổi sim qua cái a50 này thì có 2 gạch thui còn vân tay thì mình thử khóa bằng mã số thì bó tay 7 lần dc 1 thôi rất tệ còn vượt thì ok phát nào cũng đc các b ah còn về khuôn mặt thì ok rất nhạy còn âm thah thì tạm dc k hay,3
Trung,"Sóng quá tệ, mất sóng liên tục, nhiều lúc có sóng nhưng 4G k dùng được, vân tay quá dở. Mọi thứ khác tạm được.",2
Thanh Hai,Xài ổn mỗi cái youtube dg xem hay bị thoát ngang. Admin có thể chỉ cách nào khắc phục ko,4
TrƯơNg ĐứC DŨNg,Sài rất ok các bạn ạ từ lúc đặt mua máy đến giờ chưa gặp trục trặc gì ( lấy máy từ 23/3/2019 ) mua tại Điện Máy Xanh,5
Mai Van Huy,Ảnh rất nhòe khi chụp văn bản tu xa van tay kém song yếu choi gamer thi dc,1
Hieu,"Mới mua 1 tuần, đt bỏ trong túi quần có cuộc gọi rồi nóng ran lên sau đó bị cong khung đt, chán! Ko biết bảo hành ntn?",2
ĐôNg,Cập nhật bản này đi mấy ông ơi bao mượt nhé từ nay khỏi thay phiền vân tay gì nữa 😎,5
Truong Minh Luan,Sản phần rất tệ. Rất nhiều lỗi. Cảm ứng bị lỗi thường xuyên nói chung k đáng để mua,1
Bui XuÂN Danh,Sóng yếu ko làm gì đc.,1
Mai Thanh HÒA,"Sau nửa tháng sử dụng m có một vài nhận xét sơ sơ, m mua chủ yếu xem phim, chụp ảnh, đọc báo nên thấy máy dùng rất ok, mượt mà, pin bền, điểm trừ vân tay không nhạy, quét 3, 4 lần mới lên",4
VĂN HiẾU,Sản phẩm ko tốt cho lắm.cảm ứng ko nhạy.pin củng tạm.bắt sóng kém thua cái cùi bắp mặt dù 2 cái sát bên,1
Duy,"Vừa túi tiền. Thử chơi game nhẹ thì thấy cũng ok. Máy ấm nhẹ. Không hao pin lắm. Cập nhật phần mềm mới nhất nên không thấy tình trạng loạn cảm ứng như mọi người nói. Vì mình ko phải gamer nên mua con này chụp hình ngoại cảnh, check mail, đi công tác cả ngày ok rồi. Còn LtE tầm trung cat 6 nên có thể bạn gọi zalo hay viber đôi lúc sẽ bị mất tiếng. Muốn rõ thì nên mua dòg S hay note.",4
Vo Van Tay,Thích mà sao bị mất mấy cái như phản hồi pin với phản hồi màng hình không đẹp với bị ai mất mấy trang wed mật định hổ trợ mới mua có 6 7 cái giờ hiện lên giấu + với URL hỏng hiểu luôn ước gi cho đổi 1 lần hi,5
LÊ ThỊ Thanh ThÚY,"Vân tay kém, quét 5 - 10 lần mới được 1 lần, thua J7 Prime. Bắt sóng kém, pin thì sài cũng tạm ổn. Mọi thứ còn lại ok, camera đẹp, rõ nét.!",3
NguyỄN Nam,"Sóng yếu còn hay bị mất sao, hay báo điện thoại bị ẩm nên không sạc được. Dù đổi đến cái thứ 3 nó vẫn báo như thế, nản không thể tả",1
Bepca,"M mới dùng dc nửa tháng.máy cấu hình vậy lướt wed tốt nhưng chơi game liên quân thì k ổn.chơi khoảng 30p máy nóng,giật...3sao.",3
LÊ Thanh TÙNg,Sai lầm lớn cứ nghĩ ram 6g.rom 128g xài là ổn. Không ngờ chỉ được vài tháng đầu tiên giờ đt giật sóng thì kém. Sóng thua mấy cái đt cùi bắp. Đang tính bán ......,1
TrẦN TrƯờNg Giang,Sản phẩm rất tốt . Mua từ tháng 3 đến giờ . Sài văn ok . Hơn cả mong đợi .good.,5
ĐườNg ThÁI SƠN,Chất lượng phục vụ rất tốt nv ở tgdd trà nóc vui vẻ và rất nhiệt tình.đánh giá cao chất lượng phục vụ ở đây.sẽ tiếp tục ủng hộ lần sau,5
PhÙNg ThỊNh,"Sai lầm khi đã chót mua con này.bắt sóng quá yếu.đến siêu thị kiểm tra lại thì nhân viên trả lời nó bình thường không sao cả dòng ss con nào cũng thế cả.qua thực tế sử dụng nửa tháng thì trong cùng 1 địa điểm thì con máy này bắt sóng kém nhất,chơi game,you tube,nhanh nóng máy,pin 4000 nhưng dùng 15% ánh sáng được tầm hơn nửa ngày là cạn pin.ae cân nhắc kĩ trước khi mua máy.mua rồi khokng đổi được đâu.chán.",1
PhÚC,Bản 6gb ram mà hệ thống chiếm hết 3gb mấy thì còn gì nữa máy rất nóng mặc dù chỉ lướt face hoặc xem phim cam thì chỉ ở mức tạm pin dù ko sài mà vẫn tụt như tụt quần sạc thì lúc nhận lúc ko qa chán lun,2
Đỗ VĂN QuÝ,"Bỏ ra gần chục củ mà xót. 2 tháng đầu dùng bt, sau đó bị den màn hình, cảm ứng ko sử dụng đc, đem đi bảo hành thì ben bảo hành gửi về và nói không sao.về sử dụng lại thì ôi thôi, cắm sạc thì màn hình nháy lên nháy xuống, hình ảnh thì chất lượng LCD chứ ko phải supper amoled hay full HD nữa. Thế giới di động tính sao về vụ này ?",1
ĐôNg,Cập nhật phiên bản mới xong cái cảm biến vân tay nhạy hẳn ra tốc độ mở khóa được cải thiện đáng kể nhé👍.,5
LÊ HỮU QuyỀN,"Quá chán với cái vân tay, dùng 10 ngày mời mở dc 2 lần vân tay, đây có dc gọi là lỗi k",1
NguyỄN Thanh GiàU,Sam sung a50 bản 128gb rất tệ. Máy hay bị báo ẩm sạc. Mình đã bi cùng lúc hai máy. Nên cũng nản voi dòng sản phẩm của sam sung,1
PhÙNg VĂN ThỊNh,"Máy khá mượt nhưng chơi game nặng vẫn giật và lag dù wf khỏe.vân tay không nhạy và chậm.chỉ có cái mở khóa bằng khuân mặt tốt và nhạy nhưng lại khá dài dòng khi qua 3 bước(đánh thức màn hình,mở khóa,vuốt màn hình)mới hoàn thành để vào sd máy.khá nóng khi tải fim hoặc cập nhật app,chơi game nhưng vẫn chấp nhận được.vỏ máy bằng nhựa nên không có cảm giác chắc chắn và lớp sơn dễ bị trầy.",3
Duy,"Máy chơi game ổn, mượt mà. Tác vụ xử lý nhanh chưa thấy bị delay. Camera chụp đẹp, trong điều kiện thiếu sáng thì chấp nhận được chứ không quá đẹp. Màn amoled thì không phải nói nữa. Vân tay hơi dính bẩn, bụi thì không quét được. Tuy nhiên bạn nào tay bị ra mồ hôi cũng đừng quá lo vì tay mình cũng hay ra mồ hôi nhưng quét vẫn bình thường (hơi chậm). Bù lại mở khóa gương mặt thì rất tốt, mình đưa máy lên chưa kịp đặt vân tay là mở khóa rồi. Nói chung phần này nếu bạn lo lắng thì cứ ra cửa hàng test thử sẽ rõ. Pin thì dư sức dùng trong 1 ngày kể cả bạn có chơi game nhẹ nhàng, mình đánh 2 trận liên quân nhưng pin chỉ tuột từ 10-15 phần trăm. FPS ổn định ở mức 60% (mình có bật chế độ fps cao). Máy sạc hay chơi game cũng không thấy nóng nhiều. Đó là cảm nhận của mình sau 5 ngày sử dụng, mình thấy khá là đáng tiền và không hề hối hận chút nào. Chất lượng phục vụ cũng rất tốt, ngoài mấy món quà trên thì mình còn được tặng thêm 1 voucher 40% đồng hồ nữa",5
ĐứC Anh,Máy này đang lỗi bỏ túi quần tự mở khóa màn hình.chạy nhẩy ứng dụng linh tinh.Cài đặt các kiểu k dc.Reset về cài đặt gốc cũng k dc,1
Nguyenthimongtuyen,mua con a50 đầu tiên bị lỗi.tgdd đợi chờ 1 con mới về xài 3 tháng lỗi tiếp.đang xem tắt màn hình dù k nóng pjn hay gì hết.nhân viên gởi bhanh máy.nói máy k khởi động được.rồi nói máy cong nhẹ.xin hỏi các bạn cái dt nó cũng như cục đá.ngta mới mua về nâng niu như trứng mua cái ốp lưng hết 250k so bì rớt máy.hỏi mấy cong nhẹ là do gì chẳng lẽ mình bẻ đc cái dt chỉ có là do máy thiết kế bị lỗi thôi.nên t báo gởi máy bhanh đi xem thợ chuyên nghiệp ngta nói sao chứ thật lòng quả thật dòng về con a50 già 8tr chứ pit gì.bgjo ngồi đợi bhanh kiếm cái cúi bắp xài coi có tức k.đang rất bực mjnh.,1
NguyỄN VĂN Minh,Mạng hiện 4G mà lướt facebook hay youtube thì bị lát riết. Nói chung là tệ quá,3
NgỌC,"Pin tạm được nhưng máy dễ bị nóng,cảm ứng vân tay không nhạy phải đợi rất lâu,nhận diện khuôn mặt tạm ổn.Nói chung không đáng để mua với giá 7,990tr",1
NguyỄN Thanh ĐôNg,"Xài thì thấy ok đấy! Pin trâu hiệu năng tốt, lúc pin yếu tầm 20% hơi giật 1 chút nhưng chấp nhận được.",5
LÊ NgÔ TẤN BẢO,"Nói chug sài ok . Từ mọi thứ mọi thứ chỉ có 1 vấn đề là vân tay kh đc như mong đợi thôi quá là tệ còn mở khóa gương mặt thì quá êm rồi , chỉ như thế thôi .",5
Quang,"Mình mua SS A50 : 6GB , 128GB , màn hình đẹp, sắc nét , update qua 3 phiên bản nâng cấp qua OTA , vân tay nhạy OK , chụp hình đẹp , Pin quá trâu , xem youtube liên tục > 12h . Các bạn nhớ tắt những gì kg xài trong setting thì pin sẽ OK . Sóng Wifi , sóng nhà mạng sim bình thường . Nói chung máy rất tốt trong tầm giá .",5
NguyỄN KhÁNh Linh,"Pin tuột nhanh quá, cam chụp ok, máy cũng ok, chơi game có giựt nhẹ, nhưng mà sao khi đang chơi game mess tin nhắn tới thì nó cứ bị dơ cái mini chat, khó chịu. Pupg chơi nữa tiếng mất 10% :'))",2
